index,Name,Aces,Double Faults,Service Points Won,Break Points Converted,Sets Won,Tiebreaks Won,Wins,Match Duration,Year
4313,Fabrice Santoro,4.8,3,48,2.4,1.2,0,0.6,103,1997
4314,Marcelo Rios,4,3,49.2,2,1.6,0.2,0.8,73.8,1997
4315,Alex Radulescu,9.8,3.2,50.2,0.6,1,0.8,0.4,111,1997
4316,Richey Reneberg,3.8,1.8,38.4,2.2,0.8,0,0.6,104.8,1997
4317,Chris Woodruff,4.2,5,56.2,4.8,2.2,0.2,0.8,76.4,1997
4318,Brian MacPhie,8.8,5.4,44.4,1,0.8,0.2,0.4,119,1997
4319,Guillaume Raoux,5.4,1.4,51,2.6,0.8,0.2,0.2,131.8,1997
4320,Jonathan Stark,8.4,2.2,46.6,3,1.2,0,0.4,87,1997
4321,Jim Grabb,10,7.8,63.6,3.4,1.4,0.4,0.4,80.8,1997
4322,Jonathan Stark,10,3.4,54.8,2.8,1,0,0.2,91.4,1997
4323,Daniel Nestor,9.2,6,53.4,2,0.8,0,0.2,91.8,1997
4324,Greg Rusedski,15.8,2.4,51.6,1.8,1.8,0.2,0.8,72.2,1997
4325,Richey Reneberg,2.6,3.4,43.2,2,0.8,0.2,0.6,94.6,1997
4326,Pete Sampras,8,1.4,43.2,3.8,2.2,0.2,1,122.2,1997
4327,Andre Agassi,3.4,2.4,49.2,3.4,1.4,0.2,0.6,98.4,1997
4328,Adrian Voinea,8.8,1.6,59,2.4,1.2,0.2,0.4,95,1997
4329,Bernd Karbacher,4.6,2.8,50.6,2.2,1.2,0.4,0.4,116.6,1997
4330,Sergi Bruguera,5.4,2,55,3.8,1.6,0.2,0.6,94.2,1997
4331,Martin Damm,9.8,1.6,66.4,2.4,1.6,0.6,0.6,98.6,1997
4332,Cedric Pioline,8,3,46,2.4,1.4,0.2,0.4,104,1997
4333,Andrei Medvedev,4,2.8,51.6,3.4,1.2,0,0.4,75.4,1997
4334,Hendrik Dreekmann,5.2,4.6,40,2.4,1,0,0.4,111.8,1997
4335,Francisco Clavet,5,2.8,53.6,3,1.6,0.2,0.6,118.2,1997
4336,Cedric Pioline,8,3.2,47,2.2,1,0.2,0.2,94.4,1997
4337,Javier Sanchez,3,3.8,35,3,0.8,0,0.4,85.6,1997
4338,Marc Rosset,7.6,5.8,51.2,3.4,1.8,0.4,0.8,68,1997
4339,Javier Frana,7.8,1.8,58.6,2,1.6,0,0.4,82,1997
4340,Patrick McEnroe,1,5.4,53.6,2.8,1.4,0.2,0.4,81.8,1997
4341,Magnus Norman,12.4,5,62.8,2,1.2,0.4,0.4,90.2,1997
4342,Grant Stafford,2.6,2.4,34.8,2.6,1,0,0.4,90.2,1997
4343,Bryan Shelton,9.4,4.4,54.2,2.2,1,0.2,0.4,100,1997
4344,Brett Steven,8.4,1.4,51,2.4,1.4,0,0.6,104.6,1997
4345,Galo Blanco,3,4.8,44.6,0.8,0.4,0,0.2,77,1997
4346,Michael Chang,4.8,2.6,46.2,2.8,1.2,0,0.6,92,1997
4347,Bryan Shelton,10,4,58,2.2,1,0.2,0.4,102.6,1997
4348,Javier Frana,8,1,58,2.4,1.8,0.2,0.6,82.2,1997
4349,Sebastien Lareau,6.6,8.8,60.4,2.6,0.8,0.2,0.2,85,1997
4350,Alex O'Brien,3.4,2.6,62.6,2.6,1.2,0,0.4,88.8,1997
4351,Guillaume Raoux,5.4,1,53.6,2.8,1.4,0.2,0.6,143,1997
4352,Jacco Eltingh,11.4,5.8,60.8,1.6,1,0.4,0.2,72.6,1997
4353,Jeff Tarango,3.6,2,40.4,3.2,1.4,0,0.6,115.2,1997
4354,Kenneth Carlsen,11.8,4,65.2,0.6,1,0.6,0.2,112.8,1997
4355,Guillaume Raoux,5.8,1,55,1.8,1,0.2,0.4,127.8,1997
4356,Javier Frana,7.8,1,49,1.8,1.2,0.2,0.4,104.6,1997
4357,Michael Chang,8.4,3,51,2.2,1.6,0,0.8,108.8,1997
4358,Brett Steven,6.2,2.8,52.2,1.4,1.4,0.4,0.6,118.6,1997
4359,Jonas Bjorkman,3.8,2.6,56.8,4.2,2.2,0,0.8,84.8,1997
4360,Jeff Tarango,2,2.2,36.6,2.6,1.2,0.4,0.6,116.4,1997
4361,Michael Chang,9.2,3,54,2.2,1.6,0,0.8,114.4,1997
4362,Michael Chang,9.2,2.8,51.2,3,2,0,1,108.6,1997
4363,Andrei Olhovskiy,11.4,3.6,51.6,1.2,0.4,0.2,0,96.6,1997
4364,Richard Krajicek,13.6,3.4,50.8,3.4,1.2,0,0.4,99.4,1997
4365,David Prinosil,7.4,4.4,53.8,3.8,1.2,0,0.4,98.2,1997
4366,Alberto Berasategui,2.4,2.6,46.2,4.4,2,0.2,0.8,85.4,1997
4367,Francisco Clavet,4.4,3.6,48.6,3,1,0.2,0.4,93.6,1997
4368,Alex Corretja,5,2.4,58,3.4,1.2,0.4,0.2,108,1997
4369,Arnaud Boetsch,2.2,3.4,36.8,4.8,1.6,0,0.6,79.6,1997
4370,Andrei Medvedev,3.6,3,46.6,2,0.6,0,0.2,85,1997
4371,Cristiano Caratti,1.4,2,32.8,1.4,0.6,0,0.2,104.6,1997
4372,Cedric Pioline,7.4,3.6,47.8,2.4,1.2,0.2,0.4,84,1997
4373,Carlos Costa,2,3.2,43,1.6,0.2,0,0,103,1997
4374,Cedric Pioline,6.4,3.2,47.4,2.4,1,0.2,0.4,90.2,1997
4375,Petr Korda,3.6,3,40.4,2.4,1.6,0,0.8,92.2,1997
4376,Alberto Berasategui,2.4,2.2,43.8,3.8,1.6,0,0.6,110,1997
4377,Arnaud Boetsch,1.8,3.8,44.2,5.4,2,0.2,0.8,84.2,1997
4378,Javier Sanchez,2,3.2,34.2,2,0.8,0,0.4,91.8,1997
4379,Bohdan Ulihrach,3.2,1.8,36,2,0.8,0,0.4,78.6,1997
4380,Daniel Vacek,8.4,9.2,47.2,2.2,1.4,0.6,0.6,72.4,1997
4381,Arnaud Boetsch,2.6,3.4,45.6,4.6,1.6,0.2,0.6,86.6,1997
4382,David Prinosil,9,4,56,3,1.2,0.2,0.6,98.4,1997
4383,David Prinosil,9.4,3.2,54.6,3,1.2,0.2,0.6,88.8,1997
4384,Goran Ivanisevic,19.2,7.2,53.2,3.2,2,0.8,1,111.2,1997
4385,Marcelo Filippini,1,1.6,39,1.4,0.6,0,0.2,104,1997
4386,Guillaume Raoux,6.2,1.6,52.8,2.2,1,0.2,0.4,134.4,1997
4387,Andrei Chesnokov,4.6,2,38.4,3,1,0,0.4,116.2,1997
4388,Greg Rusedski,13.6,2.4,42.8,1.6,1.6,0.2,0.8,78.2,1997
4389,Byron Black,2.8,1.6,48,3,1,0.2,0.4,130,1997
4390,Doug Flach,3.8,1.6,43,3.4,1.4,0,0.6,93.8,1997
4391,Justin Gimelstob,4,4.2,44.2,1.8,1.2,0.2,0.6,112.2,1997
4392,Mark Woodforde,5.6,4.8,49.2,4,1.4,0,0.4,108.8,1997
4393,Jonathan Stark,16,5,69.2,3,1.6,0.6,0.4,93.8,1997
4394,Jonas Bjorkman,4,2.2,37.6,3.4,1.2,0,0.6,88.6,1997
4395,Jonathan Stark,12.8,3.8,57,2.6,1.6,0.6,0.6,103.6,1997
4396,Byron Black,3,1.8,49.2,2.8,1,0.2,0.4,126.4,1997
4397,Justin Gimelstob,4.4,4.6,48.6,1.6,1,0.2,0.4,105.4,1997
4398,Jonathan Stark,13.6,4,57,1.8,1.2,0.6,0.4,130.8,1997
4399,Pete Sampras,9.2,1.2,43,4,2,0.2,1,93,1997
4400,Grant Stafford,3.4,2.4,38.8,2.8,1.2,0,0.6,90,1997
4401,Patrick Rafter,7.4,2,53.2,3.4,1.8,0,0.8,152.6,1997
4402,Fabrice Santoro,4.8,2.2,48.2,2.6,1.2,0,0.6,84.4,1997
4403,Martin Damm,7.8,2.2,44.2,1.8,0.8,0.2,0.4,113.6,1997
4404,Daniel Vacek,10,9.4,50.4,1.2,1.4,1,0.6,81.4,1997
4405,Martin Sinner,4.6,5.2,53.4,2.2,1.2,0.4,0.4,104,1997
4406,Cedric Pioline,6.6,2.8,47.8,2.4,1,0,0.4,92,1997
4407,Jacco Eltingh,12.6,5,62,2,1,0.2,0.2,69.2,1997
4408,David Prinosil,10,2.8,55.8,4,1.6,0.2,0.8,79,1997
4409,Guillaume Raoux,8.2,1.4,51.2,2.2,1.4,0.2,0.6,105,1997
4410,Arnaud Boetsch,3,3.2,42,3,1,0.2,0.4,87,1997
4411,Goran Ivanisevic,17,5,50.2,3.4,2,0.2,1,123.6,1997
4412,David Prinosil,12.6,2.2,55.6,3,1.2,0.2,0.6,86.2,1997
4413,Nicolas Kiefer,9.2,1.4,37.6,1.8,1.2,0,0.6,87.8,1997
4414,Olivier Delaitre,3.6,3.2,51.6,2.2,1,0.2,0.2,90.6,1997
4415,Michael Stich,9.4,7.2,44.2,2.4,1,0.2,0.4,99.2,1997
4416,Daniel Vacek,13.6,9.4,57.2,1.6,1.8,1.2,0.8,83.2,1997
4417,Michael Stich,9.8,6.6,50.6,2.2,1,0.2,0.4,92.8,1997
4418,Daniel Vacek,13.6,10.4,58.2,1.4,1.8,1,0.8,93.2,1997
4419,Daniel Vacek,14.4,10.8,59.8,1.4,1.8,1,0.8,103.2,1997
4420,Richard Krajicek,21.6,2.8,60.8,1.8,1.8,0.8,0.8,96.4,1997
4421,Daniel Vacek,13.2,8.6,59,1.2,1.6,0.8,0.8,100.2,1997
4422,Byron Black,3,1.6,48,3.6,1.6,0.4,0.6,92.2,1997
4423,Jerome Golmard,4,3.6,53,2.8,1.6,0,0.6,80.4,1997
4424,Albert Costa,4.2,2,53.6,2,1.8,0.4,0.6,93.2,1997
4425,Andre Agassi,3.8,2.2,41.4,1.8,0.8,0.2,0.4,91.6,1997
4426,Alberto Berasategui,2.4,2,42.6,3.8,1.6,0,0.6,115.4,1997
4427,Bryan Shelton,11.4,4.6,59,2.2,1,0.2,0.4,103.8,1997
4428,Alex O'Brien,4.4,2.2,60.8,2,0.8,0,0,80.4,1997
4429,Jason Stoltenberg,3.4,3.6,43.4,2.6,0.8,0,0.2,143.2,1997
4430,Hernan Gumy,3.4,4.8,46,2.8,1.2,0,0.4,114.6,1997
4431,Chris Woodruff,5.4,4.2,44.2,2.2,1.2,0.2,0.6,96.2,1997
4432,Carlos Moya,2.6,2.2,50.6,4.2,1.6,0.4,0.6,95.4,1997
4433,Albert Costa,3,2.8,59,2,1.6,0.4,0.6,91.4,1997
4434,Hernan Gumy,3.6,5.2,47.6,2.8,1.4,0,0.4,125.2,1997
4435,Jonas Bjorkman,4.2,2.8,42.2,3.6,1.2,0.2,0.6,71.2,1997
4436,Carlos Moya,3.8,3,53,3.4,1.2,0.4,0.4,96.2,1997
4437,Jerome Golmard,4.8,2.8,50.4,2.4,1.4,0.2,0.6,89.2,1997
4438,Byron Black,3,2.2,49.4,3.6,1.4,0.2,0.6,90.2,1997
4439,Jonas Bjorkman,6,4,45,3.6,1.2,0.2,0.6,77.8,1997
4440,Chris Woodruff,7.4,4.4,57.2,2.2,1.4,0.6,0.6,75,1997
4441,Emilio Benfele Alvarez,5.8,4,43.2,1.8,1,0,0.4,63.2,1997
4442,Brett Steven,4.8,2.8,48.2,1.4,1.2,0.4,0.6,113,1997
4443,Alexander Volkov,5.2,2.6,48.6,4,1.6,0.4,0.8,90.4,1997
4444,David Prinosil,11.4,3.4,51.4,2,0.8,0.4,0.4,111.2,1997
4445,Kenneth Carlsen,8.4,3,52.4,3,1.2,0.2,0.4,97,1997
4446,Filip Dewulf,4.6,4.8,47.2,3.4,1.4,0.2,0.6,92.4,1997
4447,Frederik Fetterlein,9,4.2,44.4,2.2,1,0.2,0.4,110.6,1997
4448,Karol Kucera,5.4,5,45.2,3.8,1.6,0,0.6,113.6,1997
4449,Martin Damm,11,2.8,49.2,3.4,1.8,0,0.8,110,1997
4450,Albert Costa,3.2,4.2,46,2.2,1,0.2,0.4,93.6,1997
4451,Marc Rosset,11.2,6.2,52.6,3.2,2,0.2,0.8,95.8,1997
4452,Alex Corretja,6.2,2.4,55.4,4.6,1.6,0.2,0.4,101.4,1997
4453,Francisco Clavet,3,3,44.2,2.4,0.8,0,0.4,90.2,1997
4454,Paul Haarhuis,4,2.8,40.2,1.4,0.6,0.2,0.2,94.4,1997
